,0,1
0,901,1
1,778,1
2,47,1
3,83,1
4,77,1
5,764,1
6,748,1
7,513,1
8,653,1
9,520,1
10,398,1
11,988,1
12,317,1
13,306,1
14,590,1
15,294,1
16,719,1
17,1012,0
18,1005,0
19,465,1
20,922,1
21,335,1
22,575,1
23,681,1
24,173,1
25,806,1
26,90,1
27,220,1
28,128,1
29,354,1
30,721,1
31,583,1
32,578,1
33,431,1
34,341,1
35,496,1
36,294,1
37,389,1
38,332,1
39,407,1
40,807,1
41,817,1
42,504,1
43,975,1
44,913,1
45,326,1
46,875,1
47,126,1
48,923,1
49,524,1
50,761,1
51,392,1
52,745,1
53,69,1
54,978,1
55,723,1
56,801,1
57,890,1
58,443,1
59,652,1
60,49,1
61,880,1
62,684,1
63,29,1
64,679,1
65,212,1
66,229,1
67,60,1
68,952,1
69,906,1
70,200,1
71,899,1
72,117,1
73,756,1
74,1000,1
75,971,1
76,38,1
77,598,1
78,740,1
79,873,1
80,109,1
81,47,1
82,627,1
83,605,1
84,564,1
85,293,1
86,975,1
87,575,1
88,675,1
89,609,1
90,92,1
91,510,1
92,145,1
93,456,1
94,789,1
95,381,1
96,259,1
97,636,1
98,376,1
99,775,1
100,668,1
101,187,1
102,847,1
103,397,1
104,295,1
105,42,1
106,146,1
107,572,1
108,265,1
109,797,1
110,423,1
111,715,1
112,317,1
113,346,1
114,787,1
115,787,1
116,669,1
117,163,1
118,402,1
119,859,1
120,763,1
121,163,1
122,431,1
123,962,1
124,748,1
125,526,1
126,218,1
127,715,1
128,800,1
129,333,1
130,928,1
131,671,1
132,871,1
133,307,1
134,447,1
135,791,1
136,792,1
137,900,1
138,956,1
139,830,1
140,6,1
141,91,1
142,671,1
143,254,1
144,97,1
145,655,1
146,512,1
147,533,1
148,313,1
149,403,1
150,279,1
151,987,1
152,799,1
153,163,1
154,333,1
155,833,1
156,176,1
157,802,1
158,489,1
159,389,1
160,495,1
161,962,1
162,731,1
163,277,1
164,637,1
165,278,1
166,40,1
167,176,1
168,1004,0
169,471,1
170,435,1
171,361,1
172,3,1
173,477,1
174,134,1
175,368,1
176,215,1
177,138,1
178,514,1
179,280,1
180,259,1
181,509,1
182,767,1
183,154,1
184,749,1
185,827,1
186,577,1
187,481,1
188,140,1
189,511,1
190,585,1
191,488,1
192,824,1
193,911,1
194,404,1
195,64,1
196,770,1
197,704,1
198,10,1
199,975,1
200,318,1
201,714,1
202,523,1
203,776,1
204,990,1
205,542,1
206,306,1
207,797,1
208,886,1
209,449,1
210,176,1
211,436,1
212,575,1
213,492,1
214,972,1
215,329,1
216,668,1
217,337,1
218,931,1
219,573,1
220,67,1
221,723,1
222,57,1
223,50,1
224,161,1
225,176,1
226,363,1
227,604,1
228,241,1
229,389,1
230,22,1
231,751,1
232,217,1
233,779,1
234,404,1
235,106,1
236,274,1
237,406,1
238,557,1
239,391,1
240,671,1
241,878,1
242,983,1
243,527,1
244,352,1
245,206,1
246,487,1
247,222,1
248,483,1
249,624,1
250,523,1
251,708,1
252,373,1
253,1,1
254,33,1
255,569,1
256,976,1
257,227,1
258,183,1
259,623,1
260,826,1
261,92,1
262,139,1
263,508,1
264,7,1
265,835,1
266,940,1
267,994,1
268,271,1
269,246,1
270,625,1
271,259,1
272,16,1
273,668,1
274,959,1
275,182,1
276,505,1
277,473,1
278,61,1
279,881,1
280,488,1
281,93,1
282,254,1
283,273,1
284,836,1
285,760,1
286,64,1
287,485,1
288,815,1
289,689,1
290,555,1
291,653,1
292,942,1
293,634,1
294,784,1
295,861,1
296,48,1
297,186,1
298,508,1
299,113,1
300,295,1
301,337,1
302,415,1
303,682,1
304,667,1
305,755,1
306,1022,0
307,50,1
308,835,1
309,276,1
310,190,1
311,83,1
312,395,1
313,4,1
314,74,1
315,118,1
316,356,1
317,264,1
318,393,1
319,595,1
320,312,1
321,488,1
322,748,1
323,407,1
324,671,1
325,587,1
326,816,1
327,473,1
328,486,1
329,1017,0
330,709,1
331,698,1
332,307,1
333,803,1
334,392,1
335,502,1
336,441,1
337,643,1
338,480,1
339,403,1
340,168,1
341,782,1
342,929,1
343,584,1
344,899,1
345,589,1
346,390,1
347,42,1
348,636,1
349,275,1
350,523,1
351,114,1
352,697,1
353,883,1
354,445,1
355,828,1
356,610,1
357,18,1
358,156,1
359,174,1
360,1014,0
361,246,1
362,145,1
363,942,1
364,727,1
365,228,1
366,648,1
367,119,1
368,911,1
369,917,1
370,759,1
371,522,1
372,674,1
373,110,1
374,776,1
375,400,1
376,836,1
377,761,1
378,602,1
379,130,1
380,429,1
381,921,1
382,689,1
383,970,1
384,130,1
385,246,1
386,59,1
387,84,1
388,813,1
389,522,1
390,360,1
391,352,1
392,1008,0
393,263,1
394,479,1
395,484,1
396,879,1
397,97,1
398,942,1
399,689,1
400,409,1
401,203,1
402,175,1
403,945,1
404,869,1
405,834,1
406,465,1
407,538,1
408,246,1
409,1002,0
410,675,1
411,355,1
412,918,1
413,785,1
414,36,1
415,159,1
416,967,1
417,680,1
418,5,1
419,296,1
420,222,1
421,626,1
422,7,1
423,578,1
424,514,1
425,944,1
426,762,1
427,303,1
428,328,1
429,477,1
430,792,1
431,804,1
432,328,1
433,757,1
434,934,1
435,992,1
436,621,1
437,1016,0
438,220,1
439,260,1
440,531,1
441,588,1
442,767,1
443,22,1
444,26,1
445,809,1
446,201,1
447,64,1
448,302,1
449,993,1
450,624,1
451,331,1
452,242,1
453,459,1
454,539,1
455,695,1
456,519,1
457,33,1
458,751,1
459,116,1
460,759,1
461,464,1
462,448,1
463,143,1
464,228,1
465,785,1
466,649,1
467,83,1
468,248,1
469,88,1
470,949,1
471,564,1
472,411,1
473,651,1
474,850,1
475,595,1
476,931,1
477,700,1
478,15,1
479,285,1
480,618,1
481,377,1
482,1006,0
483,865,1
484,214,1
485,763,1
486,115,1
487,425,1
488,289,1
489,111,1
490,636,1
491,381,1
492,874,1
493,959,1
494,362,1
495,289,1
496,654,1
497,185,1
498,442,1
499,178,1
500,112,1
501,214,1
502,662,1
503,211,1
504,621,1
505,971,1
506,732,1
507,589,1
508,255,1
509,168,1
510,396,1
511,4,1
512,984,1
513,370,1
514,754,1
515,103,1
516,667,1
517,471,1
518,129,1
519,573,1
520,773,1
521,466,1
522,67,1
523,198,1
524,716,1
525,285,1
526,595,1
527,531,1
528,974,1
529,665,1
530,440,1
531,138,1
532,516,1
533,202,1
534,317,1
535,818,1
536,290,1
537,348,1
538,696,1
539,678,1
540,224,1
541,985,1
542,822,1
543,519,1
544,389,1
545,750,1
546,517,1
547,697,1
548,753,1
549,413,1
550,791,1
551,398,1
552,440,1
553,943,1
554,19,1
555,553,1
556,600,1
557,506,1
558,63,1
559,609,1
560,588,1
561,642,1
562,836,1
563,544,1
564,237,1
565,927,1
566,915,1
567,872,1
568,551,1
569,509,1
570,500,1
571,608,1
572,950,1
573,623,1
574,612,1
575,617,1
576,116,1
577,715,1
578,253,1
579,56,1
580,460,1
581,599,1
582,528,1
583,968,1
584,10,1
585,782,1
586,801,1
587,176,1
588,466,1
589,612,1
590,55,1
591,221,1
592,922,1
593,703,1
594,415,1
595,160,1
596,6,1
597,183,1
598,557,1
599,243,1
600,930,1
601,832,1
602,101,1
603,979,1
604,93,1
605,250,1
606,167,1
607,465,1
608,6,1
609,338,1
610,753,1
611,932,1
612,173,1
613,983,1
614,131,1
615,888,1
616,498,1
617,276,1
618,309,1
619,43,1
620,876,1
621,597,1
622,447,1
623,100,1
624,354,1
625,123,1
626,664,1
627,386,1
628,852,1
629,216,1
630,830,1
631,65,1
632,357,1
633,32,1
634,909,1
635,470,1
636,576,1
637,846,1
638,177,1
639,88,1
640,542,1
641,664,1
642,27,1
643,749,1
644,723,1
645,500,1
646,735,1
647,378,1
648,1022,0
649,499,1
650,75,1
651,846,1
652,595,1
653,419,1
654,321,1
655,345,1
656,799,1
657,408,1
658,887,1
659,58,1
660,767,1
661,106,1
662,9,1
663,893,1
664,710,1
665,330,1
666,279,1
667,412,1
668,836,1
669,315,1
670,395,1
671,559,1
672,113,1
673,104,1
674,133,1
675,685,1
676,947,1
677,847,1
678,923,1
679,828,1
680,916,1
681,21,1
682,490,1
683,557,1
684,913,1
685,906,1
686,118,1
687,302,1
688,887,1
689,366,1
690,715,1
691,815,1
692,138,1
693,479,1
694,368,1
695,525,1
696,766,1
697,114,1
698,695,1
699,683,1
700,1011,0
701,904,1
702,109,1
703,49,1
704,277,1
705,116,1
706,59,1
707,440,1
708,301,1
709,851,1
710,735,1
711,1020,0
712,781,1
713,960,1
714,738,1
715,320,1
716,121,1
717,896,1
718,606,1
719,885,1
720,263,1
721,540,1
722,833,1
723,203,1
724,166,1
725,1005,0
726,120,1
727,966,1
728,817,1
729,705,1
730,835,1
731,262,1
732,671,1
733,700,1
734,366,1
735,97,1
736,948,1
737,639,1
738,190,1
739,194,1
740,110,1
741,709,1
742,893,1
743,173,1
744,98,1
745,630,1
746,496,1
747,469,1
748,414,1
749,438,1
750,506,1
751,462,1
752,871,1
753,481,1
754,483,1
755,117,1
756,16,1
757,740,1
758,856,1
759,604,1
760,153,1
761,974,1
762,939,1
763,826,1
764,619,1
765,851,1
766,78,1
767,289,1
768,275,1
769,406,1
770,273,1
771,806,1
772,906,1
773,839,1
774,161,1
775,755,1
776,918,1
777,582,1
778,802,1
779,523,1
780,438,1
781,856,1
782,452,1
783,203,1
784,995,1
785,196,1
786,168,1
787,242,1
788,329,1
789,780,1
790,551,1
791,186,1
792,610,1
793,258,1
794,790,1
795,818,1
796,902,1
797,529,1
798,612,1
799,388,1
800,378,1
801,299,1
802,752,1
803,992,1
804,20,1
805,414,1
806,211,1
807,908,1
808,688,1
809,739,1
810,29,1
811,139,1
812,288,1
813,171,1
814,282,1
815,664,1
816,66,1
817,615,1
818,951,1
819,279,1
820,971,1
821,357,1
822,408,1
823,1003,0
824,786,1
825,1015,0
826,267,1
827,509,1
828,451,1
829,873,1
830,838,1
831,906,1
832,48,1
833,532,1
834,356,1
835,744,1
836,589,1
837,242,1
838,29,1
839,1014,0
840,587,1
841,117,1
842,966,1
843,260,1
844,920,1
845,857,1
846,567,1
847,320,1
848,250,1
849,766,1
850,391,1
851,150,1
852,1011,0
853,767,1
854,305,1
855,95,1
856,7,1
857,805,1
858,340,1
859,797,1
860,273,1
861,271,1
862,466,1
863,701,1
864,502,1
865,74,1
866,627,1
867,767,1
868,49,1
869,166,1
870,680,1
871,1002,0
872,774,1
873,730,1
874,361,1
875,973,1
876,325,1
877,726,1
878,462,1
879,64,1
880,738,1
881,158,1
882,341,1
883,594,1
884,581,1
885,194,1
886,385,1
887,348,1
888,210,1
889,113,1
890,78,1
891,581,1
892,359,1
893,604,1
894,933,1
895,687,1
896,304,1
897,616,1
898,472,1
899,367,1
900,335,1
901,1016,0
902,586,1
903,598,1
904,375,1
905,279,1
906,821,1
907,701,1
908,518,1
909,718,1
910,250,1
911,965,1
912,520,1
913,604,1
914,440,1
915,822,1
916,355,1
917,83,1
918,514,1
919,316,1
920,310,1
921,488,1
922,232,1
923,507,1
924,87,1
925,899,1
926,350,1
927,941,1
928,430,1
929,722,1
930,541,1
931,398,1
932,941,1
933,897,1
934,188,1
935,430,1
936,796,1
937,542,1
938,134,1
939,644,1
940,416,1
941,239,1
942,31,1
943,113,1
944,301,1
945,962,1
946,395,1
947,86,1
948,300,1
949,664,1
950,182,1
951,127,1
952,807,1
953,84,1
954,467,1
955,723,1
956,925,1
957,391,1
958,195,1
959,963,1
960,361,1
961,969,1
